sum_count,carry_count,gate
2,10,0+--+0+-0
2,10,0-+++--00
2,10,00++---+0
2,10,0+-0-++-0
4,14,+-00+-0+-
4,16,0+---++-0
4,16,0+--+++-0
4,16,0-++---+0
4,16,0-+++--+0
4,17,++0--+00-
4,18,+-0+-00+-
4,19,+-0-++00-
4,19,+-00-+0+-
4,20,+00--+0+-
4,20,+-0-+00+-
4,21,+00-++0--
5,10,0-+0+0---
5,10,+0-+-++00
5,18,0-0++--00
5,18,0+00-++-0
5,19,0+--+00-0
5,19,00++--0+0
5,22,00+-+-+0-
6,6,0+0++--0-
6,6,++00--+-0
6,6,+000---+-
6,6,+0-0-+0--
6,6,+-+++000-
6,6,++0-+0+0-
6,6,0+0-+0+0-
6,7,+0++--0-0
6,7,0-+++000-
6,7,+000--++0
6,7,+0+0-+0-0
6,7,+000---+0
6,7,++00-0-0-
6,7,0+-++00--
6,7,0+0-+0-0-
6,7,+0+0+00--
6,8,+0-+-000-
6,8,+000+-+0-
6,9,+0-+-+0+0
6,10,00--+-+0-
6,10,+0+0+--+0
6,10,0+---000-
6,10,0-0+-0-0-
6,10,+0+0+-0+0
6,10,+0-0-+0-0
6,10,+++0-0-+0
6,11,+000+++-0
6,14,0-+0+----
6,15,++-+-++00
6,16,00--+-+--
6,18,++++-0-+0
6,21,++-0-0-+0
6,22,0-+0+0+--
7,6,+-00+-00-
7,6,+00+-00+-
7,6,0-00+-+0-
7,6,00+-+00--
7,6,++00-+-00
7,7,++-0-+000
7,7,+00--+00-
7,7,0-+0+-00-
7,8,+-00-00+-
7,8,0+-+--+-0
7,8,+00+-0-+0
7,8,000-+0+--
7,9,+00-+00--
7,9,+-00+00+-
7,9,++00-+00-
7,10,+0-+-00+0
7,10,0+0+--+0-
7,11,0+----+00
7,11,0-++-0--0
7,11,00-++++-0
7,11,0++0+--+0
7,12,+00-++00-
7,12,+-0--++--
7,13,00++---00
7,13,00+-+0---
7,14,+-++-0-00
7,14,0+--+0+--
7,14,+0-+---+0
7,14,++---0+00
7,14,00+0+--+-
7,15,00+++--00
7,15,00-++0-+-
7,15,+0+--0+-0
7,15,0-+++--0-
7,15,++00-+0+-
7,15,+-+---0+-
7,16,+-00+-0+0
7,16,+-0+++0+-
7,16,+0-+-0++0
7,16,+-0---0+-
7,16,+-0+++-+-
7,16,00-0+++--
7,16,++0-++0+-
7,16,0--0+-+0-
7,17,0+-0+0+-0
7,17,++--++0+-
7,17,+-0++-0+-
7,18,+++0-+-00
7,18,++0-++0--
7,18,+0++---+0
7,18,++00+---0
7,18,+-0-+00--
7,18,+-0-+-00-
7,18,++-0-++-0
7,18,+-0--+0--
7,19,++0--+0--
7,19,+00+-+0+-
7,19,++-0-+--0
7,19,+-0-+00-0
7,19,0++-+0+--
7,19,0+-0++-0-
7,19,000+-+0+-
7,20,+0-++-0-0
7,20,+0-+-+-00
7,20,0+++-00--
7,20,+-+0--+00
7,20,+-0-+-000
7,21,0+-0-0+-0
7,21,0+00-+0+-
7,21,+-0+--0+-
7,21,+-00+-+-0
7,24,+-0-++0+-
7,24,+-0--+0+-
7,25,0-+++-+0-
8,5,+++0-000-
8,7,+000-++-0
8,7,+0+0--0+0
8,7,00--+0+-0
8,7,0-0++0-0-
8,7,0+-0-++00
8,7,0+--+000-
8,8,+0++-0-+0
8,8,00--+00--
8,8,++-0-++00
8,8,0+-0-000-
8,8,00--+0+--
8,8,+000+0+-0
8,8,0-+0+--0-
8,8,000+-0-0-
8,8,+0+0+-000
8,9,0+-++-+-0
8,9,0++++---0
8,9,0+++----0
8,9,++00-+-+0
8,9,0-+-+00--
8,9,0-0-+-+0-
8,10,00++-0-+0
8,10,0-+0+--00
8,13,+----00+-
8,14,++-0-000-
8,14,+000+0+--
8,14,+0---+0+0
8,15,00-+-00+0
8,15,0-00+-+00
8,16,0+-++0+-0
8,16,+-00-+-+0
8,17,+0+0+-00-
8,17,+-0--+-0-
8,17,0-+-+00+-
8,17,00++----0
8,17,0-0-+++0-
8,17,0+0++--00
8,18,0+-++00-0
8,18,00+-+00-0
8,18,00+-+-++-
8,18,0-+0+++--
8,18,+0+-++0+-
8,18,+-00++++-
8,19,00++--0-0
8,19,+00+-0-0-
8,19,0+00--+-0
8,20,+--+-00+0
8,20,0+-0--+-0
8,21,0+00-+-00
9,6,++00+-+00
9,6,00-+-00--
9,6,0+00---0-
9,6,+0+++00-0
9,7,0--++000-
9,9,+-0++++0-
9,10,+0-0+++-0
9,10,0+---0+0-
9,11,+++-+00+-
9,11,+0----0+-
9,11,+-00-+---
9,12,+-0--0-00
9,12,++---00+0
9,13,+-0-+++--
9,14,++0--+-00
9,14,++-+-+0+-
9,14,00+-+-0+-
9,15,+-0-+-+--
9,15,0-00+++--
9,15,0-++-0---
9,15,+--0-+-00
9,15,+-+-+-0--
9,16,00+-++0--
9,16,0-+0+++0-
9,16,0+-++0+0-
9,16,0+----+0-
9,16,+0-++++-0
9,17,0-0+-00+-
9,17,+-0+--0+0
9,17,+-0+-+-00
9,17,0+0+++0+-
9,18,++0+-00--
9,18,++0-+-+--
9,18,00+-+0++-
9,18,0---+0+-0
9,18,++---+0+-
9,18,+0---0-+0
9,18,+-0--+-00
9,19,++0+-+-+-
9,19,+00-++0-0
9,19,0-+-+--00
9,19,0-00+-++-
9,19,++0+---+-
9,19,+++0+--+0
9,19,+-0+-+-+-
9,21,0+0--+00-
9,21,0+-0-+++0
9,21,++-+-+0--
9,21,0-+0+-0+-
9,21,+-+++-0--
9,21,+-0+-0-+0
9,21,000-+++--
9,21,+-+-+-0+-
9,21,000+++0+-
9,22,00++-+-+0
9,23,+-0---0-0
9,23,++---+000
9,25,+-0---000
9,26,0+00++0+-
9,28,+-0--00-0
10,6,+000-+0-0
10,6,+000--0+0
10,6,+0-0++--0
10,6,0+0-+000-
10,6,0++--0+0-
10,6,+0-0+--+0
10,6,0-0++000-
10,7,+0-0-00+0
10,8,0-++-0+0-
10,10,0-++-0-0-
10,12,0++0--+00
10,12,00+0++0+-
10,13,0-00+--+-
10,14,0+0--++00
10,14,00--++0-0
10,14,0000++++-
10,14,+----0000
10,15,0+-++0--0
10,16,+00++-+-0
10,16,+-0+-0+0-
10,16,00++--+-0
10,17,0-++-0++-
10,17,++0--++00
10,17,0-++-00+0
10,17,+0+0----0
