gate,sum_gc,sum_depth,carry_gc,carry_depth
+-00+-+-0,7,4,21,5
0+-+-00+-,10,4,19,5
+-00+-0+-,4,3,14,5
+0-0+-+-0,15,5,15,5
+-00-++0-,17,5,20,5
0-++-00+-,20,5,17,5
+-00-+-+0,8,4,16,5
0+--+0+0-,18,5,7,3
0-+0+-+-0,16,5,9,4
0+-0-++0-,21,5,15,5
+-00-+0+-,4,4,19,5
+0-0+--+0,10,4,6,4
+-0-+00+-,4,4,20,5
0-++-0-+0,20,5,19,5
0-+0+--+0,20,5,19,5
+0-+-0-+0,14,5,7,3
0-+0+-+0-,19,5,7,3
0+-+-0+0-,24,5,23,5
+0-0-+0+-,19,5,23,5
+0--+00+-,22,5,22,5
+-00+--+0,23,5,18,5
0-+-+0+-0,18,5,18,5
0+-+-0-+0,19,5,9,4
+0-0-++-0,20,5,7,3
+0--+0+-0,21,5,15,5
+0-+-0+-0,12,5,10,4
0-+0+-0+-,9,4,21,6
0-++-0+-0,20,6,15,6
+0-0+-0+-,11,5,16,6
0+-0-+0+-,18,6,17,6
0+--+00+-,19,5,14,5
+-00-++-0,19,5,14,5
+-0-+0+-0,16,6,18,6
0+-0+--+0,18,6,18,6
+-0+-0-+0,9,4,21,6
0+-0+-+0-,18,5,10,4
+---+---0,19,6,25,6
0---+---0,21,6,12,4
0+++-+++-,24,6,18,6
+0+-+00+-,20,5,11,5
+-+0+--+0,23,5,19,5
00+-+0+-0,11,4,11,4
0+++-0+0-,18,5,12,4
+000-+0+-,28,6,15,5
00++-0-+0,8,4,10,4
+-+-+00+-,12,5,14,5
0-+-+-+-0,31,6,12,4
0+---++0-,17,5,15,5
+0---00+-,19,5,21,5
+0--+++-0,17,5,17,5
+0-0+++-0,9,4,10,4
+-0-+++0-,18,5,16,5
+0---+0+-,18,5,18,5
0+---0+0-,9,4,10,4
+-00-+-0-,22,5,17,5
+0-0+---0,18,5,11,5
0-+0+-+00,11,4,11,4
0-+0+--00,8,4,10,4
+-00-+-+-,21,5,19,5
0-++-0-0-,10,4,10,4
+0+0+-0+-,17,5,15,5
00++-0+-0,16,5,12,4
+000+-0+-,13,5,16,5
0+++-0+-0,19,5,23,5
+-+0+-0+-,25,5,19,5
+-0-+-+-0,16,5,14,6
0+---00+-,15,5,16,5
+-0-+++-0,15,5,15,5
+-00+++-0,19,5,16,5
0+---+0+-,16,5,13,5
0+-+-+0+-,18,5,18,5
0+-0+---0,21,5,13,5
0+-0+--00,16,5,12,4
00-+-0+-0,16,5,20,5
+-0+-0-0-,21,5,22,5
++---+0+-,9,4,18,5
+-+-+-+-0,17,5,13,5
+000+++-0,6,4,11,4
0-0+-0-0-,6,4,10,4
00-0+---0,31,6,22,5
0++0-++00,18,5,12,4
0--0+--00,15,5,12,4
0++0+-+00,20,5,16,5
+-+-+-0+-,9,4,21,5
00+++0+-0,16,5,18,5
+0+0+00+-,13,5,11,4
+-+-+--+0,17,5,13,5
0+++-0+00,35,6,23,5
+-0--000-,11,5,25,6
+-00-0-0-,16,5,11,4
0+---+++-,19,5,13,5
+0---000-,17,5,11,4
0+-+-+-+-,17,5,13,5
0+---000-,6,4,10,4
+-0-+++--,9,4,13,5
00+++0+0-,18,5,7,3
++---+-+0,18,5,16,5
00+++00+-,15,5,7,3
++---++-0,18,5,10,5
+---++0+-,15,5,16,5
+0+0-+0+0,15,5,10,4
0-0-+0-0-,12,4,8,4
0-00+--0-,17,5,7,3
+-0--+++-,14,5,11,5
0+-0-0-0-,12,5,21,5
+0-0---00,17,5,7,3
0-+-+++--,19,5,22,5
0+--+++--,19,5,12,5
00-++---0,18,5,19,5
0++0--+00,10,5,12,4
++---+00-,17,5,12,4
+-+-+-0-0,16,5,18,6
0+++--+00,20,5,16,5
+-+-+-0+0,17,5,15,5
+000++0--,11,5,16,5
00-++-++-,34,7,30,7
++0--0--0,20,5,33,6
+-+0-00-0,41,8,24,6
+-++-+0-0,28,6,14,5
0+00+0-+-,43,8,21,6
0++0++0--,22,6,30,6
++0--0++0,37,7,26,7
00-++-00-,26,6,16,5
+00+--+00,26,6,16,5
0--0++0--,39,7,26,6
++0--+--0,19,5,21,5
+-+0+00-0,15,5,16,5
+-+0-00+0,17,5,19,5
00+++-00-,18,5,13,5
++---0++0,16,5,16,5
+--0++0--,28,6,17,5
+0++-+0-0,16,5,19,5
0--0+++--,18,5,17,5
+00+---00,17,5,20,5
0+00-0-+-,15,5,13,5
0++-++0--,20,5,14,5
++0--+00-,4,3,17,5
00+++---0,16,5,13,5
+00-++0--,4,3,21,5
++0--+++-,20,5,13,5
+000---00,15,5,8,4
0---+++--,17,5,14,5
0+00-0-0-,21,5,14,5
0++-+++--,16,5,14,5
+0+0-00+0,20,5,16,5
0-0-+--0-,18,5,17,5
00+++0++-,17,5,16,5
++---+--0,18,5,14,5
+0++-+0+0,18,5,20,5
0-00+0-0-,16,5,12,5
++---+++0,17,5,14,5
00+++000-,13,5,9,4
+---++0--,20,5,13,5
00+++-++-,17,5,24,6
++---0--0,15,5,32,6
+0+0-00-0,19,5,8,4
0-0-+--+-,11,4,12,5
+-++-+0+0,19,5,14,5
++0--+++0,17,5,12,5
+000--+00,15,5,7,3
0---++0--,17,5,14,5
0-0++-++-,19,5,16,5
+0+--0--0,18,5,13,5
++-0-00-0,17,5,20,5
00+-+--+-,19,5,16,5
+-++-+-00,18,5,17,5
0+00+0+--,19,5,16,5
+-++-+00-,38,6,15,5
++00--++0,18,5,18,5
00--++00-,18,5,21,5
+00-+-+00,15,5,18,5
+00--++00,16,5,18,5
00++-+-+-,16,5,16,5
+-+--000-,14,5,22,5
++-0---00,17,5,18,5
00+-+++--,19,5,17,5
+-+0---00,23,5,16,5
0+0-+++--,16,5,18,5
0++0-0-0-,14,5,6,4
0+0--+++-,13,5,18,5
++00---00,19,5,15,5
00--+++--,17,5,11,5
+0+0---00,21,5,8,4
0-0-+++--,12,5,16,5
0++--000-,16,5,6,4
+00--+++-,18,5,16,5
0-0++0-0-,8,4,7,3
+0+--+0+0,15,5,15,5
0--++--00,18,5,18,5
0++--++00,19,5,15,5
0++-+-+00,22,5,16,5
++---+0+0,19,5,16,5
00+++0-0-,14,5,8,4
+---++00-,16,5,16,5
+000++--0,16,5,8,4
++---++00,21,5,13,5
00+++00--,18,5,19,5
+-+-+-+00,17,5,17,5
0-0++--0-,13,5,15,5
+0+--00+0,16,5,13,5
+-0+-000-,11,5,11,5
00-+-+--0,19,5,15,5
0++--0+00,16,5,17,5
+-0-+000-,30,6,15,5
00--++--0,19,5,16,5
+0+0--0+0,8,4,7,4
++---+0-0,18,5,17,5
00+++0-+-,22,5,16,5
+000++-+-,19,5,18,5
++---+-00,18,5,10,4
00+++0+--,20,5,19,5
+-+-+--00,14,5,17,5
+0+0+00--,6,3,7,4
00++-+0--,15,5,19,5
0-0+--++0,18,5,16,5
0++--+0-0,19,5,22,5
0+00--++-,17,5,16,5
++-0+00--,15,5,21,5
00++-+00-,16,5,6,4
++-0--++0,16,5,8,4
00+-++00-,37,6,18,5
+00++--00,15,5,20,5
+--++00--,16,5,19,5
+00+-+-00,16,5,10,4
+0++-+00-,30,6,23,5
0+00-0++-,17,5,6,4
+0++-+-00,29,6,19,5
0++-++00-,19,5,11,4
+--0--++0,34,6,15,5
0++-++0-0,23,5,9,4
+0+--+--0,28,6,13,5
0--++-++0,11,5,4,3
++---000-,21,5,15,5
0++--+--0,11,5,4,3
+0+--000-,16,5,8,4
0+0--+--0,20,5,11,4
++-0-00+0,16,5,10,4
00+-+--0-,29,6,16,5
+00--+--0,21,5,11,4
+0++-+--0,17,5,8,4
0+00-0+--,15,5,18,5
0--+--++0,14,5,4,3
++-0-0++0,29,6,19,5
00+-+-00-,16,5,10,4
00++--00-,17,5,16,5
+00--+-00,27,6,20,5
+00-+--00,18,5,6,4
+--0+00--,26,6,19,5
0--++-++-,22,6,15,5
+00--0--0,29,6,9,4
+-++-+--0,26,5,18,5
0+00+0++-,27,6,19,5
+--+--++0,23,6,15,5
0++0++0-0,16,5,17,5
++00-0++0,30,6,25,6
00--+-00-,27,6,10,4
00-+--00-,26,6,19,5
+00++-+00,26,6,18,5
+00+-++00,23,6,10,4
+0---+0+0,8,4,14,5
0-+++0-0-,14,5,7,3
+-0-++00-,4,4,19,5
+0-0++--0,10,4,6,4
+0--++0-0,21,5,21,5
0-+++--00,2,2,10,4
0-+-+-+00,18,5,14,5
0+0--++0-,15,5,14,5
00+-+-+-0,17,5,9,4
+00--+0+-,4,4,20,5
0++--0+0-,10,4,6,4
00++---+0,2,2,10,4
0-0-+++0-,8,4,17,5
+0+0---+0,16,5,7,3
00++-0-+-,18,5,13,5
0+-0-++00,8,4,7,4
+000-+-+-,20,5,15,5
++-0-+-00,19,5,7,3
00+-+0+--,17,5,7,3
+-+0+--00,15,5,20,5
+0+-+00--,18,5,19,5
00++-0-0-,21,5,7,4
++-0-++00,8,4,8,4
00+-+00--,7,4,6,3
+-+0+-+00,16,5,15,5
+000+---0,16,5,9,4
0+-0-++-0,2,2,10,4
+000-+-0-,16,5,6,4
+0+--+0+-,12,5,17,5
0+0--0+0-,17,5,7,4
+-00++-0-,17,5,16,5
00-0+++-0,14,5,13,5
0-00+++0-,11,4,6,4
0++--++0-,10,4,24,5
0++-+-+-0,15,5,11,4
0-+++0-+-,13,5,17,5
+0---+0-0,17,5,16,5
+0-0+0--0,17,5,10,4
00--+0--0,16,5,12,4
+-0-+-00-,7,4,18,5
0-+++-+00,19,5,9,4
+00--00+-,17,5,9,4
0+---+-00,18,5,10,4
+00+-+-+-,16,5,17,5
0+-+-++00,19,5,17,5
0-+-+--00,9,4,19,5
+-00++-+-,21,5,19,5
+0---00+0,11,4,6,4
0-+++--0-,7,4,15,5
+0--++--0,10,4,20,5
+0-0++0-0,20,5,7,4
00--+++-0,18,5,16,5
+-0-++-0-,15,5,17,5
+-+--00+-,17,5,17,5
00++-+-+0,9,4,22,5
+00+-+0+-,7,4,19,5
0++0-0+0-,15,5,6,4
00+-+++-0,18,5,10,4
0+0-+++0-,18,5,19,5
+-+0---+0,22,5,17,5
0+0-++--0,19,5,15,5
+0+-+000-,17,5,6,4
+-+0+---0,19,5,14,5
+000-+++-,21,5,18,5
++00-+-00,7,4,6,3
0--0+00--,28,6,25,6
+0+0+--00,19,5,7,4
+-+-+00--,14,5,14,5
++00-+-+0,8,4,9,4
+-+0+-+-0,16,5,16,5
+000+-+-0,16,5,19,5
+000-++0-,16,5,10,4
+-+0-+-+0,15,5,18,5
0++0-++0-,14,5,6,4
0+-+-+-00,19,5,9,4
+00+-00+-,7,4,6,4
0++0+-+-0,18,5,18,5
+-0-+-0+-,20,5,13,5
0-+++-+0-,7,4,25,5
+0---0-+0,9,4,18,5
0-+-+--+0,17,5,13,4
+0--+0--0,17,5,10,4
+0-0-+0-0,6,4,10,4
+-0--00+-,14,5,14,5
0-++-+-+0,14,5,13,4
+00-+--0-,27,6,21,5
0+--+-+-0,16,5,7,4
+-0+-+0+-,13,5,18,5
0-+0+++0-,9,4,16,5
+0-+---+0,7,4,14,5
+000++-0-,16,5,6,4
0+-0+++-0,22,5,11,4
+-00+---0,24,5,19,5
0+-+-0-+-,18,5,20,5
0+-+-000-,20,5,17,5
+-00+-+00,15,5,6,4
+0-0-++00,18,5,10,4
++0-+--00,14,5,15,5
0-+-+00--,8,4,9,4
++00-+00-,7,4,9,4
00++-0++-,13,5,6,4
++-0-+--0,7,4,19,5
00+-+0++-,9,4,18,5
00+++-+-0,19,5,21,5
0+0+-++0-,16,5,23,5
00+++--+0,15,5,11,4
+0+0-0-+0,19,5,10,4
0-0-+-+0-,8,4,9,4
0+-0---00,18,5,15,5
+00-++0+-,19,5,13,5
+0---+++0,16,5,16,5
0-+++---0,21,5,11,4
0+-+-+-0-,24,5,19,5
+-0-++0--,18,5,15,5
+0--++0--,20,5,17,5
+0-+-+0+0,6,3,9,4
0-+0+0-0-,16,5,10,4
+-0--+00-,20,5,18,5
+0--+-0-0,15,5,19,5
+000++0+-,11,5,27,6
0+-+---00,15,5,18,5
++0--++0-,16,5,14,5
++0--+0+-,18,5,18,5
0+++---+0,14,5,7,4
0---+++0-,17,5,17,5
+000---+0,6,4,7,3
00+0+---0,15,5,12,4
0+00-+-0-,15,5,6,4
0++-+0+--,7,4,19,5
+--0+--00,19,5,6,4
+00-+00--,7,4,9,4
++00-+0+-,7,4,15,5
00++-0+0-,19,5,6,4
++-0-++-0,7,4,18,5
00+-+00+-,11,4,6,4
+000+--+0,15,5,7,4
+---+00+-,18,5,17,5
0+++-0-+0,18,5,18,5
+0+0-+0+-,16,5,18,5
00+0+--+0,19,5,18,5
0-00+-+0-,7,4,6,4
+00-+00+-,17,5,9,4
+--0+--+0,10,4,19,5
0++-+0+-0,19,5,9,4
0--+-0-+0,21,5,10,4
0-+++00+-,17,5,16,5
+0---++-0,19,5,20,5
+0-0+0+-0,23,5,7,4
0-+++-+-0,14,5,11,4
0+-+-++0-,18,5,14,5
+0-0-00+-,21,5,6,4
+0--++0+-,16,5,16,5
+000-000-,31,6,6,4
0+-0-+--0,18,5,9,4
+0-+-00+0,7,4,10,4
0-+0+--0-,8,4,8,4
+-00-+00-,21,5,9,4
+0-0+-0-0,18,5,9,4
00--+0+-0,8,4,7,4
+-0-+0-0-,14,5,22,5
+-0--++0-,18,5,19,5
+0--+-+-0,24,5,23,5
+0-+-+0+-,20,5,11,5
0+-0-0+0-,15,5,7,4
0-+-+++-0,13,5,12,4
+000+++--,16,5,15,5
0+-+---+0,18,5,11,4
0+--+++0-,17,5,15,5
+-00---+0,14,5,16,5
0-+0+---0,21,5,21,5
0+-0-+-0-,15,5,14,5
+-00-+++-,17,5,19,5
0+--+0+--,7,4,14,5
+0-0+--00,19,5,6,4
+-0-+00--,7,4,18,5
++00-++-0,15,5,15,5
+-+-+0+-0,19,5,25,6
++-0-+0+-,18,5,17,5
+000-++-0,8,4,7,3
+0+-+-0-0,10,4,17,5
0---+00+-,19,5,18,5
00-0+--+0,21,5,24,5
+-++-0-+0,16,5,16,5
+-+0-+0+-,16,5,18,5
0++0+-+0-,19,5,18,5
+--+-0-+0,14,5,16,5
0++0-++-0,15,5,22,5
0--0+--+0,18,5,22,5
0-+++0+-0,15,5,17,5
+0-0+00+-,14,5,6,4
+-0-+--+0,19,5,19,5
0-+++-0+-,18,5,14,5
+0---0+-0,18,5,17,5
+0-0-0+-0,18,5,8,4
0-+-+-0+-,15,5,20,5
+0-0+-0+0,17,5,8,4
+-0-+0-+-,21,5,18,5
0-+0+-++-,18,5,17,5
+0-+-0--0,19,5,19,5
+0-+-00-0,16,5,18,5
0-+0+--+-,20,5,21,5
0-++-0+00,21,5,16,5
+-0+-+-+0,14,5,18,5
0+-0+0+0-,15,5,8,4
+-0--0+0-,14,5,12,4
+-00-0+0-,16,5,6,4
0+-0+++0-,19,5,15,5
+-0+---+0,20,5,18,5
0-+0+++-0,17,5,8,4
+00-+++--,13,5,18,5
0+-0---+0,16,5,17,5
0+--+000-,8,4,7,3
0+-0-+++-,15,5,19,5
0+-0-+-+-,14,5,25,6
+0-0+-+00,20,5,8,4
+-0-+0+--,19,5,19,5
+-00-++00,15,5,15,5
0+--+00--,19,5,18,5
++00-++0-,19,5,17,5
00++-00+-,17,5,20,5
+0+0+-+-0,10,4,28,6
++-0-+-+0,13,5,14,5
00+-+0+0-,14,5,7,3
+000-+-+0,17,5,8,4
+0+-+-0+0,16,5,18,5
0---+0+0-,15,5,17,5
00+0+-+-0,19,5,42,6
0+00-++0-,20,5,17,5
+0+0-+-+0,22,5,14,5
0++-+0+0-,18,5,7,3
++00-0+--,17,5,19,5
+--0-+-+0,21,5,13,4
+0---+-+0,21,5,12,5
0-+++--+0,4,3,16,5
+0-0-0-+0,15,5,7,3
0-+-+-+0-,14,5,17,5
+-0-++0+-,7,4,24,5
+0-0-+0+0,17,5,10,4
0-+-+0-0-,21,5,16,5
+0-0-+--0,16,5,7,3
+0--+00-0,16,5,16,5
00-0+-+-0,19,5,12,4
+-00+--0-,19,5,18,5
+0-+-+-+0,21,5,21,5
+-0--+0+-,7,4,24,5
0-++---+0,4,3,16,5
0-+-+++0-,15,5,14,5
+0-0---+0,18,5,7,3
